Line #,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Footprint

"","CL10A226MQ8NRND","Cap Ceramic 22uF 6.3V X5R ±20% Pad SMD 0603 +85∞C T/R","C1","1","Samsung Electro-Mechanics","CL10A226MQ8NRND","FP-CL10-IPC_B"
"","CAP 100nF 100V 0805(2012)","CAP 100nF 100V ±10% 0805 (2012 Metric) Thickness 1.45mm SMD","C2, C3, C5","3","KEMET","C0805C104K1RACTU","CAPC0805(2012)145_M"
"","CC0603KPX5R7BB225","CC0603 2.2 uF X5R 10.00% 16 V","C6","1","Yageo Group","CC0603KPX5R7BB225","FP-CC0603-DA-MFG"
"","08056D106KAT4A","","C7","1","KYOCERA AVX","08056D106KAT4A","CAPC2013X140X50ML20T25"
"","ESP32-WROOM-32E-N8","WiFi Modules - 802.11 SMD Module ESP32-WROOM-32E, ESP32-D0WD-V3, 8 MB SPI flash, PCB antenna","ESP32","1","Espressif Systems","ESP32-WROOM-32E-N8","ESP32WROOM32EN8"
"","ICM-42670-P","Integrated Circuit","ICM","1","TDK","ICM-42670-P","ICM42670P"
"","SM10B-SRSS-TB_LF__SN_","Connector","J1","1","JST","SM10B-SRSS-TB(LF)(SN)","SM10B-SRSS-TB"
"","CES-104-02-S-S","Connector","J2, J4","2","Samtec","CES-104-02-S-S","CES-104-XX-Y-S"
"","CES-103-01-G-S","Connector","J3","1","Samtec","CES-103-01-G-S","CES-103-XX-Y-S"
"","CES-106-01-T-S","Connector","J5","1","Samtec","CES-106-01-T-S","CES-106-XX-Y-S"
"","68001-204HLF","CONN HEADER VERT 4POS 2.54MM","JP1","1","Amphenol Communications Solutions","68001-204HLF","HDR Male1Å~4 2.54mm"
"","ERJ-3EKF2401V","","R1, R4, R5","3","Panasonic","ERJ-3EKF2401V","RESC1608X55X30ML15T15"
"","AC0603JR-7W10KL","RES 10kO 5.00% 0.2W 0603","R2, R3, R6","3","Yageo Group","AC0603JR-7W10KL","FP-AC0603-IPC_A"
"","RC1206FR-102KL","","R7","1","Yageo Group","RC1206FR-102KL","RESC3116X65X40ML10T20"
"","RC1206JR-101KL","","R8","1","Yageo Group","RC1206JR-101KL","RESC3116X65X40ML10T20"
"","TL3301AF160QG","SWITCH TACTILE SPST-NO 0.05A 12V","SW1","1","E-Switch","TL3301AF160QG","FP-TL3301AF160QG-MFG"
"","TXB0104D","IC TRNSLTR BIDIRECTIONAL 14SOIC","U1","1","Texas Instruments","TXB0104D","FP-D0014A-IPC_A"
